pollutant,horizon,unique_id,model,MAE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,70,LSTM,9.692959124479528e-09,6.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,RandomForest,1.0330823529573624e-08,7.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Arima,1.1336555017158373e-08,8.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,SeasonalNaive-8,1.1336555017158373e-08,8.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Theta,1.138753476157314e-08,10.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Informer,1.1742890764030582e-08,11.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,SeasonalNaive-56,1.1806662881774835e-08,12.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,ETS,1.2156290791615163e-08,13.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,XGBoost,1.2908170822346533e-08,14.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Naive,1.517139729342081e-08,15.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,71,NBEATS-I,8.871031444273753e-09,1.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,NBEATS-G,8.892648880665048e-09,2.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,NHITS,8.979608464754849e-09,3.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,LightGBM,9.415915616796185e-09,4.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,GRU,9.814787407635857e-09,5.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,LSTM,9.882262249291553e-09,6.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,RandomForest,1.0302449969019009e-08,7.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Arima,1.1876894175021679e-08,8.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
